,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
16378,Mexico,Celaya,54,Moderate,1,0,31,1,1,0,54,Moderate
16379,United States of America,Centreville,49,Good,1,0,49,3,0,0,36,Good
16380,Thailand,Chai Nat,62,Moderate,1,0,16,0,2,1,62,Moderate
16381,Russian Federation,Chapaevsk,42,Good,1,0,42,3,1,0,22,Good
16382,Venezuela (Bolivarian Republic of),Charallave,48,Good,1,0,29,1,0,0,48,Good
16383,United Kingdom of Great Britain and Northern Ireland,Chichester,37,Good,1,0,24,1,4,1,37,Good
16384,Venezuela (Bolivarian Republic of),Ciudad Bolivar,27,Good,1,0,19,0,0,0,27,Good
16386,United States of America,Cleveland,55,Moderate,1,0,37,2,3,1,55,Moderate
16387,India,Abohar,162,Unhealthy,2,1,125,3,0,0,162,Unhealthy
16388,Spain,Adeje,41,Good,0,0,41,3,0,0,12,Good
16389,United States of America,Affton,52,Moderate,1,0,41,3,4,1,52,Moderate
16390,Iran (Islamic Republic of),Ahvaz,147,Unhealthy for Sensitive Groups,2,1,107,3,1,0,147,Unhealthy for Sensitive Groups
16391,Russian Federation,Ak Dovurak,39,Good,1,0,39,2,0,0,30,Good
16392,Costa Rica,Alajuela,60,Moderate,2,1,1,0,13,2,60,Moderate
16393,India,Aliganj,187,Unhealthy,3,1,164,3,2,1,187,Unhealthy
16394,India,Khargone,153,Unhealthy,2,1,31,1,3,1,153,Unhealthy
16395,Pakistan,Khipro,161,Unhealthy,1,0,30,1,2,1,161,Unhealthy
16396,India,Khirkiya,192,Unhealthy,1,0,37,2,2,1,192,Unhealthy
16397,Ireland,Kilkenny,53,Moderate,1,0,40,2,0,0,53,Moderate
16398,Russian Federation,Kireyevsk,39,Good,1,0,39,2,0,0,22,Good
16399,United States of America,Kirkland,56,Moderate,1,0,24,1,9,2,56,Moderate
16400,Austria,Klagenfurt,61,Moderate,1,0,43,3,0,0,61,Moderate
16401,Burkina Faso,Kongoussi,80,Moderate,1,0,37,2,0,0,80,Moderate
16402,Nigeria,Kontagora,69,Moderate,2,1,38,2,0,0,69,Moderate
16403,Ukraine,Kostyantynivka,49,Good,1,0,37,2,4,1,49,Good
16405,Pakistan,Kotli Loharan,169,Unhealthy,5,1,31,1,12,2,169,Unhealthy
16406,Russian Federation,Krasnyy Sulin,46,Good,1,0,46,3,0,0,25,Good
16407,Germany,Krefeld,52,Moderate,1,0,40,2,1,0,52,Moderate
16408,Japan,Kuki,82,Moderate,1,0,25,1,18,2,82,Moderate
16409,India,Kurduvadi,157,Unhealthy,2,1,29,1,4,1,157,Unhealthy
16410,Uzbekistan,Kuybyshevo,136,Unhealthy for Sensitive Groups,1,0,35,2,8,2,136,Unhealthy for Sensitive Groups
16411,Chad,Kyabe,60,Moderate,1,0,11,0,0,0,60,Moderate
16412,Myanmar,Kyaikto,22,Good,1,0,22,1,0,0,22,Good
16413,France,Landerneau,37,Good,1,0,37,2,2,1,37,Good
16414,Germany,Lauffen,65,Moderate,1,0,57,3,0,0,65,Moderate
16415,United States of America,Layton,48,Good,1,0,35,2,3,1,48,Good
16416,France,Le Raincy,69,Moderate,1,0,45,3,1,0,69,Moderate
16417,Netherlands,Leiden,38,Good,1,0,38,2,1,0,32,Good
16418,United Kingdom of Great Britain and Northern Ireland,Lichfield,35,Good,1,0,31,1,1,0,35,Good
16419,Czechia,Litomysl,71,Moderate,1,0,41,3,0,0,71,Moderate
16420,United States of America,Little Rock,68,Moderate,2,1,42,3,5,2,68,Moderate
16421,Germany,Loxstedt,39,Good,0,0,39,2,0,0,27,Good
16422,Germany,Lubben,45,Good,1,0,45,3,0,0,31,Good
16423,Italy,Lucera,59,Moderate,1,0,59,3,0,0,53,Moderate
16424,Italy,Mariano Comense,97,Moderate,1,0,58,3,0,0,97,Moderate
16425,United Republic of Tanzania,Masoko,27,Good,0,0,19,0,0,0,27,Good
16426,United Republic of Tanzania,Mbeya,21,Good,0,0,21,0,0,0,16,Good
16427,Germany,Meinerzhagen,54,Moderate,1,0,45,3,0,0,54,Moderate
16428,Philippines,Mendez,81,Moderate,2,1,23,1,6,2,81,Moderate
16429,Japan,Misato,79,Moderate,1,0,26,1,18,2,79,Moderate
16430,Italy,Misilmeri,59,Moderate,1,0,51,3,0,0,59,Moderate
16431,United Republic of Tanzania,Mlimba,21,Good,0,0,19,0,0,0,21,Good
16432,India,Modasa,153,Unhealthy,2,1,29,1,5,2,153,Unhealthy
16433,Italy,Montefiascone,78,Moderate,1,0,78,3,0,0,30,Good
16434,Italy,Montelupo Fiorentino,76,Moderate,1,0,76,3,0,0,41,Good
16435,Hungary,Mosonmagyarovar,69,Moderate,1,0,69,3,0,0,61,Moderate
16436,India,Mudkhed,174,Unhealthy,1,0,45,3,1,0,174,Unhealthy
16437,Turkey,Mus,61,Moderate,1,0,41,3,0,0,61,Moderate
16438,Brazil,Mutum,27,Good,0,0,21,0,0,0,27,Good
16439,Mexico,Nacozari,65,Moderate,1,0,28,1,0,0,65,Moderate
16440,Morocco,Nador,43,Good,1,0,43,3,0,0,36,Good
16441,India,Nagod,165,Unhealthy,3,1,103,3,2,1,165,Unhealthy
16442,Thailand,Nam Phong,86,Moderate,2,1,21,0,4,1,86,Moderate
16443,India,Nandigama,162,Unhealthy,3,1,38,2,7,2,162,Unhealthy
16444,United States of America,Naperville,53,Moderate,1,0,37,2,3,1,53,Moderate
16445,Benin,Natitingou,51,Moderate,1,0,27,1,0,0,51,Moderate
16446,Italy,Nave,82,Moderate,1,0,48,3,0,0,82,Moderate
16447,Sri Lanka,Nawalapitiya,106,Unhealthy for Sensitive Groups,2,1,13,0,5,2,106,Unhealthy for Sensitive Groups
16448,Netherlands,Neede,38,Good,1,0,38,2,0,0,35,Good
16449,China,Nenjiang,90,Moderate,3,1,40,2,1,0,90,Moderate
16451,China,Ninghai,66,Moderate,2,1,66,3,3,1,51,Moderate
16452,Cameroon,Nkoteng,44,Good,1,0,18,0,0,0,44,Good
16453,United States of America,Northfield,60,Moderate,1,0,35,2,2,1,60,Moderate
16454,Poland,Nowy Tomysl,42,Good,1,0,42,3,0,0,27,Good
16455,Ghana,Nsawam,28,Good,1,0,22,1,0,0,28,Good
16456,United Republic of Tanzania,Nyakahanga,46,Good,1,0,22,1,0,0,46,Good
16457,Russian Federation,Nytva,42,Good,1,0,42,3,0,0,37,Good
16458,Mexico,Oaxaca,60,Moderate,1,0,17,0,2,1,60,Moderate
16460,France,Oissel,58,Moderate,1,0,43,3,1,0,58,Moderate
16461,Congo,Owando,60,Moderate,2,1,25,1,0,0,60,Moderate
16462,Bangladesh,Palang,88,Moderate,2,1,21,0,7,2,88,Moderate
16463,Philippines,Palayan,106,Unhealthy for Sensitive Groups,2,1,18,0,5,2,106,Unhealthy for Sensitive Groups
16464,India,Paliyad,119,Unhealthy for Sensitive Groups,1,0,26,1,6,2,119,Unhealthy for Sensitive Groups
16466,Brazil,Pederneiras,58,Moderate,1,0,26,1,0,0,58,Moderate
16467,Pakistan,Phalia,170,Unhealthy,5,1,36,2,12,2,170,Unhealthy
16468,United States of America,Macon,74,Moderate,1,0,74,3,4,1,40,Good
16469,Burundi,Makamba,39,Good,1,0,27,1,0,0,39,Good
16470,United States of America,Kings Park,57,Moderate,1,0,47,3,4,1,57,Moderate
16471,Hungary,Kisujszallas,56,Moderate,1,0,48,3,0,0,56,Moderate
16472,United Republic of Tanzania,Kitangari,21,Good,0,0,21,0,0,0,18,Good
16473,Japan,Koga,52,Moderate,1,0,52,3,2,1,47,Good
16474,Japan,Komatsushima,53,Moderate,1,0,28,1,7,2,53,Moderate
16475,Finland,Kotka,35,Good,1,0,35,2,0,0,5,Good
16476,Russian Federation,Krasnokamensk,78,Moderate,2,1,37,2,0,0,78,Moderate
16477,Russian Federation,Krasnokumskoye,43,Good,1,0,43,3,1,0,31,Good
16478,India,Kumhari,160,Unhealthy,3,1,39,2,5,2,160,Unhealthy
16479,Peru,La Oroya,11,Good,0,0,11,0,0,0,6,Good
16480,Spain,La Solana,43,Good,0,0,43,3,0,0,10,Good
16481,Germany,Leinfelden Echterdingen,64,Moderate,1,0,56,3,0,0,64,Moderate
16482,Russian Federation,Leninogorsk,43,Good,1,0,43,3,0,0,14,Good
16483,United States of America,Lenoir,38,Good,1,0,38,2,2,1,17,Good
16484,Belgium,Leopoldsburg,51,Moderate,1,0,38,2,1,0,51,Moderate
16485,China,Liangxiang,160,Unhealthy,5,1,24,1,30,2,160,Unhealthy
16486,United States of America,Libertyville,60,Moderate,1,0,25,1,5,2,60,Moderate
16487,Zambia,Luanshya,36,Good,1,0,25,1,0,0,36,Good
16488,United States of America,Lubbock,54,Moderate,1,0,27,1,2,1,54,Moderate
16489,United States of America,Lumberton,47,Good,1,0,47,3,1,0,32,Good
16490,Germany,Luneburg,43,Good,1,0,43,3,0,0,25,Good
16491,United States of America,Macedonia,53,Moderate,1,0,39,2,2,1,53,Moderate
16492,Kenya,Sirari,67,Moderate,1,0,17,0,0,0,67,Moderate
16493,India,Sirsilla,176,Unhealthy,2,1,37,2,8,2,176,Unhealthy
16494,India,Sivagiri,65,Moderate,1,0,24,1,3,1,65,Moderate
16495,Germany,Rosbach,54,Moderate,1,0,45,3,0,0,54,Moderate
16496,Germany,Rosenheim,67,Moderate,1,0,64,3,0,0,67,Moderate
16497,Russian Federation,Rossosh,43,Good,1,0,40,2,0,0,43,Good
16498,Italy,Rutigliano,59,Moderate,1,0,54,3,0,0,59,Moderate
16499,Austria,Saalfelden,60,Moderate,1,0,48,3,0,0,60,Moderate
16500,France,Saint Avold,68,Moderate,1,0,54,3,0,0,68,Moderate
16501,France,Sainte Genevieve Des Bois,73,Moderate,1,0,43,3,2,1,73,Moderate
16502,Mexico,San Juan Del Rio,48,Good,1,0,29,1,1,0,48,Good
16503,India,Sancoale,57,Moderate,1,0,19,0,2,1,57,Moderate
16504,Brazil,Santa Cruz Do Rio Pardo,53,Moderate,1,0,24,1,0,0,53,Moderate
16505,Spain,Santona,42,Good,1,0,42,3,0,0,19,Good
16506,Brazil,Sao Domingos Do Maranhao,21,Good,0,0,18,0,0,0,21,Good
16507,Brazil,Sao Joao Evangelista,22,Good,0,0,22,1,0,0,20,Good
16508,Brazil,Sao Marcos,22,Good,1,0,16,0,0,0,22,Good
16509,India,Ranibennur,52,Moderate,1,0,16,0,3,1,52,Moderate
16510,Argentina,Rio Tercero,25,Good,1,0,25,1,0,0,24,Good
16511,Ecuador,Riobamba,20,Good,0,0,7,0,0,0,20,Good
16512,Liberia,Robertsport,21,Good,1,0,21,0,0,0,18,Good
16513,Italy,Piazza Armerina,48,Good,1,0,48,3,0,0,40,Good
16514,Brazil,Pirai,58,Moderate,1,0,25,1,1,0,58,Moderate
16515,France,Plouzane,35,Good,1,0,34,2,3,1,35,Good
16516,Canada,Port Hope,44,Good,1,0,24,1,1,0,44,Good
16517,Egypt,Port Said,80,Moderate,1,0,80,3,1,0,50,Good
16519,Indonesia,Purwokerto,178,Unhealthy,9,1,14,0,22,2,178,Unhealthy
16520,France,Puteaux,69,Moderate,1,0,45,3,2,1,69,Moderate
16521,India,Qadian,162,Unhealthy,4,1,41,3,9,2,162,Unhealthy
16522,India,Ramganj Mandi,185,Unhealthy,2,1,38,2,4,1,185,Unhealthy
16523,Brazil,Gloria Do Goita,24,Good,0,0,24,1,0,0,18,Good
16524,India,Godda,136,Unhealthy for Sensitive Groups,3,1,47,3,5,2,136,Unhealthy for Sensitive Groups
16525,Brazil,Governador Valadares,27,Good,0,0,24,1,0,0,27,Good
16526,Argentina,Goya,20,Good,0,0,20,0,0,0,9,Good
16527,United States of America,Granite City,84,Moderate,2,1,41,3,7,2,84,Moderate
16528,Austria,Graz,57,Moderate,1,0,47,3,0,0,57,Moderate
16529,United States of America,Greenbelt,52,Moderate,1,0,52,3,1,0,39,Good
16530,Brazil,Guarabira,25,Good,0,0,25,1,0,0,24,Good
16531,Uzbekistan,Guliston,126,Unhealthy for Sensitive Groups,2,1,22,1,8,2,126,Unhealthy for Sensitive Groups
16532,India,Guntakal,65,Moderate,1,0,29,1,3,1,65,Moderate
16533,Pakistan,Hala,157,Unhealthy,1,0,24,1,2,1,157,Unhealthy
16534,India,Haliyal,45,Good,1,0,17,0,2,1,45,Good
16535,Japan,Hamamatsu,73,Moderate,1,0,33,2,6,2,73,Moderate
16536,Germany,Heinsberg,53,Moderate,1,0,39,2,1,0,53,Moderate
16537,Netherlands,Helmond,48,Good,1,0,39,2,1,0,48,Good
16538,Sri Lanka,Hendala,80,Moderate,1,0,21,0,2,1,80,Moderate
16539,Germany,Hennigsdorf,45,Good,1,0,45,3,0,0,26,Good
16540,Germany,Herford,43,Good,1,0,42,3,0,0,43,Good
16541,United States of America,Hopatcong,51,Moderate,1,0,43,3,1,0,51,Moderate
16542,United States of America,Horsham,48,Good,1,0,48,3,1,0,42,Good
16543,China,Huaibei,153,Unhealthy,6,1,75,3,18,2,153,Unhealthy
16544,Brazil,Ibia,27,Good,1,0,25,1,0,0,27,Good
16545,India,Idappadi,93,Moderate,2,1,28,1,7,2,93,Moderate
16546,Germany,Illingen,63,Moderate,1,0,55,3,0,0,63,Moderate
16547,Spain,Illora,41,Good,0,0,41,3,0,0,12,Good
16548,Russian Federation,Irbit,42,Good,1,0,42,3,1,0,26,Good
16549,Brazil,Itapipoca,32,Good,0,0,23,1,0,0,32,Good
16550,Russian Federation,Ivangorod,35,Good,1,0,35,2,0,0,6,Good
16551,Russian Federation,Izhevsk,41,Good,1,0,41,3,1,0,38,Good
16552,United States of America,Jacksonville Beach,83,Moderate,2,1,83,3,3,1,29,Good
16553,India,Jalalpur,167,Unhealthy,4,1,75,3,6,2,167,Unhealthy
16554,India,Jaspur,159,Unhealthy,5,1,20,0,12,2,159,Unhealthy
16555,Indonesia,Jatiroto,163,Unhealthy,6,1,10,0,13,2,163,Unhealthy
16556,China,Jiamusi,151,Unhealthy,4,1,30,1,13,2,151,Unhealthy
16557,Romania,Jilava,58,Moderate,1,0,49,3,0,0,58,Moderate
16558,China,Jimo,80,Moderate,4,1,50,3,10,2,80,Moderate
16559,Estonia,Johvi,37,Good,1,0,37,2,0,0,4,Good
16560,United States of America,Jupiter,38,Good,1,0,38,2,0,0,19,Good
16561,Honduras,Juticalpa,49,Good,1,0,21,0,0,0,49,Good
16562,China,Kaifeng,154,Unhealthy,5,1,78,3,16,2,154,Unhealthy
16563,Russian Federation,Kamenka,46,Good,1,0,39,2,0,0,46,Good
16564,Kenya,Kangundo,58,Moderate,1,0,19,0,1,0,58,Moderate
16565,Turkey,Karaman,46,Good,0,0,46,3,0,0,45,Good
16566,India,Karimganj,129,Unhealthy for Sensitive Groups,4,1,11,0,9,2,129,Unhealthy for Sensitive Groups
16567,India,Kasaragod,63,Moderate,1,0,20,0,2,1,63,Moderate
16568,Sudan,Kassala,93,Moderate,1,0,37,2,0,0,93,Moderate
16569,Mali,Kati,79,Moderate,1,0,23,1,0,0,79,Moderate
16570,Japan,Kawai,57,Moderate,1,0,30,1,3,1,57,Moderate
16571,Indonesia,Kefamenanu,70,Moderate,1,0,16,0,0,0,70,Moderate
16572,India,Kenda,127,Unhealthy for Sensitive Groups,2,1,34,2,5,2,127,Unhealthy for Sensitive Groups
16573,United States of America,Kentwood,51,Moderate,1,0,29,1,1,0,51,Moderate
16574,India,Khambhat,119,Unhealthy for Sensitive Groups,1,0,31,1,2,1,119,Unhealthy for Sensitive Groups
16575,India,Bahsuma,180,Unhealthy,7,1,14,0,21,2,180,Unhealthy
16576,Thailand,Bang Phae,133,Unhealthy for Sensitive Groups,3,1,3,0,11,2,133,Unhealthy for Sensitive Groups
16577,Indonesia,Banyuwangi,101,Unhealthy for Sensitive Groups,3,1,19,0,4,1,101,Unhealthy for Sensitive Groups
16578,France,Bar Le Duc,73,Moderate,1,0,49,3,0,0,73,Moderate
16579,Brazil,Barreiras,19,Good,0,0,19,0,0,0,18,Good
16580,China,Beihai,101,Unhealthy for Sensitive Groups,4,1,41,3,6,2,101,Unhealthy for Sensitive Groups
16581,India,Bellary,52,Moderate,1,0,24,1,3,1,52,Moderate
16582,India,Belur,57,Moderate,1,0,13,0,3,1,57,Moderate
16583,Croatia,Bjelovar,68,Moderate,1,0,63,3,0,0,68,Moderate
16584,Russian Federation,Bogoroditsk,39,Good,1,0,39,2,0,0,21,Good
16585,Brazil,Bom Despacho,37,Good,1,0,27,1,0,0,37,Good
16586,Russian Federation,Bor,36,Good,1,0,36,2,3,1,30,Good
16587,Republic of North Macedonia,Bosilovo,61,Moderate,1,0,46,3,0,0,61,Moderate
16588,Central African Republic,Bouca,63,Moderate,1,0,17,0,0,0,63,Moderate
16589,South Africa,Bredasdorp,44,Good,1,0,22,1,1,0,44,Good
16590,Netherlands,Brummen,38,Good,1,0,38,2,0,0,35,Good
16591,Spain,Calatayud,40,Good,0,0,40,2,0,0,10,Good
16592,Italy,Campiglia Marittima,86,Moderate,1,0,86,3,0,0,32,Good
16593,Cuba,Cardenas,37,Good,0,0,37,2,0,0,23,Good
16594,Brazil,Carlos Chagas,26,Good,0,0,25,1,0,0,26,Good
16595,France,Carrieres Sous Poissy,67,Moderate,1,0,44,3,2,1,67,Moderate
16596,Brazil,Cassia,37,Good,1,0,24,1,0,0,37,Good
16597,India,Chalala,95,Moderate,1,0,26,1,1,0,95,Moderate
16598,India,Chamba,92,Moderate,2,1,40,2,1,0,92,Moderate
16599,Cuba,Chambas,47,Good,1,0,32,2,0,0,47,Good
16600,China,Changde,150,Unhealthy,6,1,26,1,19,2,150,Unhealthy
16601,United Republic of Tanzania,Chanika,19,Good,0,0,17,0,0,0,19,Good
16602,India,Charkhi Dadri,171,Unhealthy,4,1,128,3,5,2,171,Unhealthy
16603,France,Chateau Gontier,47,Good,1,0,37,2,0,0,47,Good
16604,France,Chaville,72,Moderate,1,0,43,3,2,1,72,Moderate
16605,Russian Federation,Chelyabinsk 40,39,Good,1,0,39,2,1,0,11,Good
16606,India,Cherrapunji,87,Moderate,3,1,12,0,6,2,87,Moderate
16607,Peru,Chicama,44,Good,0,0,24,1,0,0,44,Good
16608,Colombia,Circasia,83,Moderate,1,0,19,0,3,1,83,Moderate
16609,United States of America,Citrus Park,81,Moderate,1,0,81,3,2,1,13,Good
16610,El Salvador,Ciudad Arce,69,Moderate,1,0,24,1,1,0,69,Moderate
16611,India,Clement Town,156,Unhealthy,4,1,25,1,11,2,156,Unhealthy
16612,United Kingdom of Great Britain and Northern Ireland,Aberdare,40,Good,1,0,30,1,1,0,40,Good
16613,Russian Federation,Achkhoy Martan,46,Good,1,0,36,2,2,1,46,Good
16614,Italy,Albano Laziale,77,Moderate,1,0,77,3,0,0,31,Good
16615,Italy,Anguillara Sabazia,76,Moderate,1,0,76,3,0,0,29,Good
16616,United States of America,Apple Valley,64,Moderate,1,0,35,2,4,1,64,Moderate
16617,Mexico,Ario,35,Good,1,0,27,1,0,0,35,Good
16618,Greece,Arta,129,Unhealthy for Sensitive Groups,1,0,42,3,0,0,129,Unhealthy for Sensitive Groups
16619,Belgium,Asse,52,Moderate,1,0,38,2,2,1,52,Moderate
16620,Japan,Eniwa,45,Good,1,0,28,1,6,2,45,Good
16621,South Africa,Ermelo,52,Moderate,1,0,17,0,5,2,52,Moderate
16622,Russian Federation,Ertil,48,Good,1,0,38,2,0,0,48,Good
16623,Germany,Eschborn,62,Moderate,1,0,62,3,0,0,57,Moderate
16624,Cameroon,Eseka,42,Good,1,0,19,0,0,0,42,Good
16625,Brazil,Estreito,20,Good,0,0,20,0,0,0,19,Good
16626,United States of America,Euless,73,Moderate,2,1,37,2,4,1,73,Moderate
16628,Sweden,Solna,34,Good,1,0,34,2,0,0,16,Good
16629,Portugal,Fafe,37,Good,0,0,37,2,0,0,15,Good
16630,Colombia,Sonson,50,Good,1,0,17,0,0,0,50,Good
16631,Morocco,Fez,37,Good,0,0,33,2,0,0,37,Good
16632,Turkey,Sorgun,44,Good,1,0,44,3,0,0,26,Good
16633,United States of America,Speedway,56,Moderate,1,0,39,2,2,1,56,Moderate
16634,United States of America,State College,54,Moderate,1,0,40,2,1,0,54,Moderate
16635,Tunisia,Subaytilah,68,Moderate,1,0,47,3,0,0,68,Moderate
16637,United Kingdom of Great Britain and Northern Ireland,Gainsborough,43,Good,1,0,35,2,1,0,43,Good
16638,Indonesia,Gamping,164,Unhealthy,6,1,12,0,18,2,164,Unhealthy
16639,Germany,Ganderkesee,38,Good,1,0,38,2,0,0,28,Good
16640,France,Gap,48,Good,1,0,38,2,0,0,48,Good
16641,Brazil,Garca,62,Moderate,1,0,24,1,0,0,62,Moderate
16642,Armenia,Gavar,84,Moderate,1,0,36,2,0,0,84,Moderate
16643,Germany,Gengenbach,69,Moderate,1,0,57,3,0,0,69,Moderate
16644,Germany,Gernsbach,66,Moderate,1,0,60,3,0,0,66,Moderate
16645,India,Giddalur,98,Moderate,2,1,33,2,4,1,98,Moderate
16646,Philippines,Davao,87,Moderate,1,0,17,0,1,0,87,Moderate
16647,France,Dax,40,Good,1,0,40,2,0,0,21,Good
16648,Netherlands,Deventer,37,Good,1,0,37,2,0,0,31,Good
16649,India,Dhamnod,159,Unhealthy,2,1,18,0,5,2,159,Unhealthy
16650,Brazil,Dois Corregos,59,Moderate,1,0,24,1,0,0,59,Moderate
16651,Romania,Draganesti Olt,49,Good,1,0,49,3,0,0,41,Good
16652,Russian Federation,Drezna,38,Good,1,0,38,2,3,1,31,Good
16653,Republic of Moldova,Drochia,55,Moderate,1,0,51,3,0,0,55,Moderate
16654,Venezuela (Bolivarian Republic of),El Tocuyo,39,Good,1,0,21,0,0,0,39,Good
16655,Germany,Emsdetten,43,Good,1,0,40,2,0,0,43,Good
16656,France,Compiegne,59,Moderate,1,0,48,3,0,0,59,Moderate
16657,United States of America,Coram,65,Moderate,2,1,39,2,9,2,65,Moderate
16658,Italy,Correggio,67,Moderate,1,0,67,3,0,0,66,Moderate
16659,Turkey,Corum,43,Good,1,0,43,3,0,0,25,Good
16660,United States of America,Council Bluffs,43,Good,1,0,43,3,2,1,41,Good
16661,Brazil,Custodia,21,Good,0,0,21,0,0,0,13,Good
16662,Azerbaijan,Saray,81,Moderate,1,0,47,3,0,0,81,Moderate
16663,Germany,Schwelm,54,Moderate,1,0,44,3,1,0,54,Moderate
16664,Brazil,Serrinha,23,Good,0,0,23,1,0,0,19,Good
16665,United States of America,Severn,48,Good,1,0,44,3,3,1,48,Good
16666,Italy,Imola,76,Moderate,1,0,37,2,2,1,76,Moderate
16667,Japan,Inuyama,47,Good,1,0,47,3,1,0,38,Good
16668,Brazil,Ipero,77,Moderate,2,1,10,0,5,2,77,Moderate
16669,Brazil,Itacoatiara,21,Good,0,0,7,0,0,0,21,Good
16670,Czechia,Jesenik,73,Moderate,1,0,41,3,1,0,73,Moderate
16671,Brazil,Jucas,29,Good,0,0,11,0,1,0,29,Good
16672,India,Junagadh,133,Unhealthy for Sensitive Groups,0,0,27,1,0,0,133,Unhealthy for Sensitive Groups
16673,Pakistan,Kahuta,149,Unhealthy for Sensitive Groups,2,1,129,3,0,0,149,Unhealthy for Sensitive Groups
16674,Japan,Kakuda,41,Good,1,0,41,3,1,0,40,Good
16675,Pakistan,Kalat,148,Unhealthy for Sensitive Groups,0,0,43,3,0,0,148,Unhealthy for Sensitive Groups
16676,Serbia,Kaluderica,79,Moderate,1,0,44,3,2,1,79,Moderate
16677,India,Kankon,83,Moderate,0,0,23,1,0,0,83,Moderate
16678,United Republic of Tanzania,Katoro,33,Good,1,0,15,0,0,0,33,Good
16679,Switzerland,Hinwil,41,Good,1,0,35,2,2,1,41,Good
16680,Germany,Hunxe,33,Good,1,0,32,2,2,1,33,Good
16681,India,Khed Brahma,182,Unhealthy,1,0,35,2,0,0,182,Unhealthy
16682,Germany,Kirchlinteln,33,Good,0,0,33,2,1,0,13,Good
16683,Poland,Klobuck,80,Moderate,1,0,38,2,1,0,80,Moderate
16684,Japan,Kodama,27,Good,1,0,24,1,3,1,27,Good
16685,Turkey,Korfez,43,Good,1,0,35,2,0,0,43,Good
16686,India,Kosamba,156,Unhealthy,1,0,25,1,1,0,156,Unhealthy
16687,United States of America,Shenandoah,44,Good,1,0,22,1,4,1,44,Good
16688,China,Shenxian,157,Unhealthy,5,1,82,3,17,2,157,Unhealthy
16689,Japan,Shiki,88,Moderate,2,1,22,1,21,2,88,Moderate
16690,South Africa,Kriel,102,Unhealthy for Sensitive Groups,1,0,16,0,12,2,102,Unhealthy for Sensitive Groups
16691,China,Shuiji,89,Moderate,4,1,63,3,10,2,89,Moderate
16692,Thailand,Si Satchanalai,62,Moderate,1,0,17,0,1,0,62,Moderate
16693,Guinea,Siguiri,56,Moderate,1,0,21,0,0,0,56,Moderate
16694,United Republic of Tanzania,Kyaka,23,Good,1,0,18,0,0,0,23,Good
16695,Spain,La Puebla De Cazalla,28,Good,1,0,28,1,2,1,28,Good
16696,Indonesia,Labuhan,176,Unhealthy,3,1,176,3,1,0,137,Unhealthy for Sensitive Groups
16697,Belgium,Sint Genesius Rode,54,Moderate,1,0,39,2,2,1,54,Moderate
16698,India,Siolim,48,Good,1,0,23,1,1,0,48,Good
16699,India,Sirmaur,171,Unhealthy,3,1,96,3,4,1,171,Unhealthy
16700,India,Laharpur,177,Unhealthy,4,1,177,3,1,0,174,Unhealthy
16701,United States of America,Lake Shore,55,Moderate,1,0,48,3,3,1,55,Moderate
16702,Russian Federation,Skovorodino,214,Very Unhealthy,8,1,25,1,9,2,214,Very Unhealthy
16703,Serbia,Smederevska Palanka,59,Moderate,1,0,59,3,0,0,58,Moderate
16704,Greece,Lamia,65,Moderate,1,0,45,3,0,0,65,Moderate
16705,Germany,Langen,62,Moderate,1,0,42,3,2,1,62,Moderate
16706,Viet Nam,Lao Cai,25,Good,1,0,25,1,0,0,15,Good
16707,Philippines,Laoag,28,Good,0,0,28,1,0,0,26,Good
16708,Mexico,Laredo,119,Unhealthy for Sensitive Groups,2,1,20,0,2,1,119,Unhealthy for Sensitive Groups
16709,Germany,Leonberg,52,Moderate,1,0,33,2,6,2,52,Moderate
16710,France,Les Pavillons Sous Bois,68,Moderate,1,0,21,0,5,2,68,Moderate
16711,Italy,Leverano,58,Moderate,1,0,58,3,1,0,49,Good
16712,India,Narwar,162,Unhealthy,3,1,90,3,2,1,162,Unhealthy
16713,Russian Federation,Nevyansk,41,Good,1,0,41,3,1,0,21,Good
16714,United States of America,New Philadelphia,44,Good,1,0,38,2,2,1,44,Good
16715,New Zealand,New Plymouth,58,Moderate,0,0,30,1,0,0,58,Moderate
16716,India,Neyyattinkara,89,Moderate,2,1,19,0,4,1,89,Moderate
16717,Indonesia,Nganjuk,172,Unhealthy,6,1,6,0,19,2,172,Unhealthy
16718,Germany,Nidda,58,Moderate,1,0,53,3,0,0,58,Moderate
16719,Japan,Nihommatsu,65,Moderate,1,0,18,0,12,2,65,Moderate
16720,United States of America,North Berwick,32,Good,1,0,32,2,1,0,31,Good
16721,Burkina Faso,Nouna,69,Moderate,1,0,29,1,0,0,69,Moderate
16722,Brazil,Nova Prata,24,Good,0,0,18,0,0,0,24,Good
16723,Russian Federation,Novokuznetsk,46,Good,1,0,21,0,13,2,46,Good
16725,Japan,Obihiro,47,Good,1,0,21,0,4,1,47,Good
16726,Germany,Oerlinghausen,48,Good,1,0,43,3,0,0,48,Good
16727,United States of America,Oil City,54,Moderate,1,0,36,2,1,0,54,Moderate
16728,Netherlands,Oisterwijk,42,Good,1,0,40,2,1,0,42,Good
16729,Germany,Erlensee,59,Moderate,1,0,59,3,0,0,58,Moderate
